name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit
Thunderheart,R,0.6621621621621621,0.46083285598885004,0.7231201718424208,0.7225611917053065,0.2692307692307693,9.61587214452889,65.38793058279644,normal,Others,Others,Others,Crime,United States,TriStar Pictures,0
Stop! Or My Mom Will Shoot,PG-13,0.32432432432432423,0.5623397208939446,0.8246591439690568,0.7958880891079536,0.11538461538461536,10.5713425658087,45.4567730329774,short,Others,Others,Sylvester Stallone,Action,United States,Others,0
Innocent Blood,R,0.581081081081081,0.41231204890594153,0.7497091165745452,0.6243274672950643,0.23557692307692313,9.15915233520675,56.786744478281854,normal,Others,Others,Others,Action,United States,Warner Bros.,0
Lorenzo's Oil,PG-13,0.7297297297297296,0.4965768285418285,0.7871841300150656,0.6493586514880929,0.3173076923076923,9.952325334619427,72.65197494272182,long,Others,Others,Others,Biography,United States,Universal Pictures,0
Final Analysis,R,0.5405405405405406,0.4535037261729734,0.7931490870977834,0.7375578468444708,0.2932692307692307,9.546884034617923,56.32661580424576,long,Others,Others,Richard Gere,Drama,United States,Warner Bros.,0
Stay Tuned,PG,0.581081081081081,0.4278853223684982,0.7703331046475647,0.6743674436673897,0.12019230769230771,9.305741456739437,57.6955970317845,short,Others,Others,Others,Adventure,United States,Others,0
Consenting Adults,R,0.5135135135135135,0.3798730350118448,0.7399711967991446,0.7194434519094237,0.17307692307692307,8.853808274977197,50.466707167370025,normal,Others,Others,Others,Crime,United States,Others,0
Fortress,R,0.5405405405405406,0.5271382109236692,0.665021173255664,0.6443214679571254,0.15384615384615385,10.239995502805316,60.41597346655137,normal,Others,Others,Others,Action,Others,Others,0
Once Upon a Crime...,PG,0.5405405405405406,0.3230548243408391,0.7399711967991446,0.660574465625895,0.1490384615384615,8.31898612539206,49.08201813981316,normal,Others,Others,Others,Comedy,United States,Others,0
Mom and Dad Save the World,PG,0.472972972972973,0.33055529747238277,0.7167435227488349,0.567049842162809,0.12019230769230771,8.38958706681109,45.30377016077989,short,Others,Others,Others,Adventure,United States,Others,0
Supercop,R,0.6756756756756757,0.4913937325280403,0.46309146034740845,0.70118837870412,0.13461538461538458,9.90353755128617,68.33440910387458,normal,Others,Others,Others,Action,Others,Others,1
Jennifer 8,R,0.5945945945945945,0.4676888296353757,0.7497091165745452,0.6781828344828023,0.2932692307692307,9.680406499268877,60.98656094539391,long,Others,Others,Others,Crime,Canada,Paramount Pictures,0
Memoirs of an Invisible Man,PG-13,0.5540540540540541,0.5062410101802298,0.8137730755173961,0.6931205326151637,0.17307692307692307,10.043292972227004,60.25975783336202,normal,Others,Others,Others,Comedy,United States,Warner Bros.,0
Peter's Friends,R,0.6891891891891891,0.4278853223684982,0.6215812079313173,0.6116047689268409,0.1826923076923077,9.305741456739437,65.14019019717604,normal,Others,Others,Others,Comedy,United Kingdom,Others,0
Freejack,R,0.472972972972973,0.46083285598885004,0.7871841300150656,0.7045054900621579,0.22596153846153844,9.61587214452889,51.92570958045601,normal,Others,Others,Others,Action,United States,Others,0
Como agua para chocolate,R,0.7027027027027026,0.47412905216370305,0.5368932854079981,0.7198974455494891,0.20192307692307687,9.741027444837728,69.16129485834787,normal,Others,Others,Others,Drama,Others,Others,1
Noises Off...,PG-13,0.7567567567567567,0.4278853223684982,0.7024961843855658,0.5744050831036023,0.1826923076923077,9.305741456739437,69.79306092554576,normal,Others,Others,Others,Comedy,United States,Touchstone Pictures,0
Class Act,PG-13,0.5675675675675674,0.3813797625730505,0.6590562167506008,0.6880466368213487,0.16826923076923078,8.867990898182093,54.09474447891076,normal,Others,Others,Others,Comedy,United States,Warner Bros.,0
Diggstown,R,0.6891891891891891,0.3798730350118448,0.7346883444657702,0.6229204046155936,0.16826923076923078,8.853808274977197,61.97665792484038,normal,Others,Others,Others,Drama,United States,Metro-Goldwyn-Mayer (MGM),0
Kuffs,PG-13,0.5405405405405406,0.41776076526194195,0.6856451599423127,0.7180879434389245,0.1875,9.210440366976515,54.34159816516145,normal,Others,Others,Others,Action,United States,Others,1
Mo' Money,R,0.4864864864864864,0.382865419276764,0.6856451599423127,0.7595876604037262,0.125,8.881975184248867,48.85086351336877,short,Others,Others,Others,Action,United States,Columbia Pictures,1
Husbands and Wives,R,0.7567567567567567,0.5271382109236692,0.7497091165745452,0.6732718440309102,0.21634615384615385,10.239995502805316,76.79996627103986,normal,Woody Allen,Woody Allen,Others,Comedy,United States,Others,0
Trespass,R,0.5945945945945945,0.41776076526194195,0.7167435227488349,0.6879367898223177,0.1826923076923077,9.210440366976515,58.025774311952055,normal,Others,Others,Others,Action,United States,Universal Pictures,0
Rapid Fire,R,0.5945945945945945,0.4017394357751337,0.6856451599423127,0.6931135494436753,0.15384615384615385,9.05963375455148,57.07569265367432,normal,Others,Others,Others,Action,United States,Twentieth Century Fox,0
Wind,PG-13,0.6081081081081081,0.2746811509277505,0.7840507873711667,0.6314417973277873,0.3028846153846154,7.8636512654486515,50.327368098871375,long,Others,Others,Others,Action,United States,Others,0
Hero,PG-13,0.6216216216216216,0.5015187724635509,0.8182824945820589,0.7128937519506595,0.2692307692307693,9.99884318585288,64.99248070804373,normal,Others,Others,Others,Comedy,United States,Columbia Pictures,0
South Central,R,0.6621621621621621,0.3523076898241557,0.6009572235552868,0.5416886395903777,0.16826923076923078,8.594339400592892,58.44150792403166,normal,Others,Others,Others,Crime,United States,Others,0
The Muppet Christmas Carol,G,0.7837837837837837,0.5908387965786827,0.7024961843855658,0.7459738044119599,0.10576923076923078,10.839600519357369,83.46492399905173,short,Others,Others,Others,Comedy,United States,Walt Disney Pictures,1
